ID		from		to
0	;	000270 KS	;	000720 KS
1	;	000270 KS	;	001500 KS
2	;	000270 KS	;	064350 KS
3	;	000270 KS	;	ABG US
4	;	000270 KS	;	ACQ CN
5	;	000270 KS	;	CAR US
6	;	000270 KS	;	EUCAR FP
7	;	000270 KS	;	GPI US
8	;	000270 KS	;	HTZGQ US
9	;	000270 KS	;	INCH LN
10	;	000270 KS	;	LAD US
11	;	000270 KS	;	SAH US
12	;	000572 CH	;	832 HK
13	;	000800 CH	;	000927 CH
14	;	000800 CH	;	600019 CH
15	;	000800 CH	;	600704 CH
16	;	000927 CH	;	000159 CH
17	;	000927 CH	;	002024 CH
18	;	000927 CH	;	600148 CH
19	;	005380 KS	;	053270 KS
20	;	005380 KS	;	2206 TT
21	;	005380 KS	;	ABG US
22	;	005380 KS	;	ACQ CN
23	;	005380 KS	;	AN US
24	;	005380 KS	;	CAR US
25	;	005380 KS	;	GPI US
26	;	005380 KS	;	HTZGQ US
27	;	005380 KS	;	INCH LN
28	;	005380 KS	;	LAD US
29	;	005380 KS	;	PAG US
30	;	005380 KS	;	SAH US
31	;	1114 HK	;	600653 CH
32	;	1211 HK	;	000792 CH
33	;	1211 HK	;	ARW US
34	;	1211 HK	;	DELL US
35	;	1211 HK	;	ETN US
36	;	1211 HK	;	INCH LN
37	;	1211 HK	;	MSFT US
38	;	175 HK	;	300711 CH
39	;	175 HK	;	KNDI US
40	;	1958 HK	;	600166 CH
41	;	1958 HK	;	INCH LN
42	;	200550 CH	;	600561 CH
43	;	200625 CH	;	INCH LN
44	;	2201 TT	;	1525 TT
45	;	2204 TT	;	DAI GR
46	;	2333 HK	;	2243 TT
47	;	2333 HK	;	GFS LN
48	;	2333 HK	;	INCH LN
49	;	489 HK	;	300210 CH
50	;	489 HK	;	INCH LN
51	;	600006 CH	;	000957 CH
52	;	600006 CH	;	002627 CH
53	;	600006 CH	;	2038 HK
54	;	600006 CH	;	7201 JP
55	;	600104 CH	;	002607 CH
56	;	600104 CH	;	005850 KS
57	;	600104 CH	;	600386 CH
58	;	600104 CH	;	INCH LN
59	;	600166 CH	;	600733 CH
60	;	600166 CH	;	PII US
61	;	600303 CH	;	300210 CH
62	;	600303 CH	;	ETN US
63	;	600418 CH	;	002420 CH
64	;	600418 CH	;	600741 CH
65	;	600418 CH	;	INCH LN
66	;	600418 CH	;	KKR US
67	;	601127 CH	;	489 HK
68	;	7201 JP	;	1417 TT
69	;	7201 JP	;	2201 TT
70	;	7201 JP	;	2227 TT
71	;	7201 JP	;	600006 CH
72	;	7201 JP	;	7211 JP
73	;	7201 JP	;	8291 JP
74	;	7201 JP	;	ABG US
75	;	7201 JP	;	ACQ CN
76	;	7201 JP	;	AN US
77	;	7201 JP	;	CAR US
78	;	7201 JP	;	EUCAR FP
79	;	7201 JP	;	GPI US
80	;	7201 JP	;	HTZGQ US
81	;	7201 JP	;	LAD US
82	;	7201 JP	;	PAG US
83	;	7201 JP	;	SAH US
84	;	7202 JP	;	1122 HK
