ID;	from;	to
0;	Belle International Holdings Ltd;	Adidas AG
1;	Nike Inc;	Adidas AG
2;	Omnicom Group Inc;	Adidas AG
3;	TBWA Worldwide Inc;	Adidas AG
4;	Leanix GmbH;	Adidas AG
5;	Pou Chen Corp;	Adidas AG
6;	Zalando SE;	Adidas AG
7;	Sciessent LLC;	Adidas AG
8;	Yue Yuen Industrial (Holdings) Ltd;	Adidas AG
9;	Hibbett Inc;	Adidas AG
10;	Polygiene AB;	Adidas AG
11;	I.A.R. Systems AB;	Adidas AG
12;	Lululemon Athletica Inc;	Adidas AG
13;	Isobar;	Adidas AG
14;	Staffbase GmbH;	Adidas AG
15;	Under Armour Inc;	Adidas AG
16;	Adidas AG;	Frasers Group PLC
17;	Grand Twins International Cambodia PLC;	Adidas AG
18;	retarus GmbH;	Adidas AG
19;	Seewhy Inc;	Adidas AG
20;	Airship Group Inc;	Adidas AG
21;	Adidas AG;	Manchester United PLC
22;	RedPrairie Corp;	Adidas AG
23;	YOC AG;	Adidas AG
24;	Demandware LLC;	Adidas AG
25;	Exasol AG;	Adidas AG
26;	Realtime Technology AG;	Adidas AG
27;	WPP PLC;	Adidas AG
28;	Dyehard Fan Supply LLC;	Adidas AG
29;	Adidas AG;	H & M Hennes & Mauritz AB
30;	JD Sports Fashion PLC;	Adidas AG
31;	Frasers Group PLC;	Adidas AG
32;	YDx Innovation Corp;	Adidas AG
33;	Adyen NV;	Facebook Inc
34;	Airbus SE;	Air France KLM SA
35;	Airbus SE;	Air Lease Corp
36;	Airbus SE;	Airasia Group Bhd
37;	Airbus SE;	AirAsia X Bhd
38;	Airbus SE;	American Airlines Group Inc
39;	Bombardier Inc;	Airbus SE
40;	Airbus SE;	Cebu Air Inc
41;	CFM International Inc;	Airbus SE
42;	Cfm International SA;	Airbus SE
43;	Airbus SE;	Delta Air Lines Inc
44;	Airbus SE;	Deutsche Lufthansa AG
45;	Airbus SE;	Easyjet PLC
46;	Airbus SE;	Emirates Airline
47;	FACC AG;	Airbus SE
48;	Hexcel Corp;	Airbus SE
49;	Airbus SE;	Interglobe Aviation Ltd
50;	Airbus SE;	Iran Air
51;	Airbus SE;	JetBlue Airways Corp
52;	Pratt & Whitney Co;	Airbus SE
53;	Raytheon Technologies Corp;	Airbus SE
54;	Rolls-Royce Holdings PLC;	Airbus SE
55;	Safran SA;	Airbus SE
56;	Spirit AeroSystems Holdings Inc;	Airbus SE
57;	Airbus SE;	United Airlines Inc
58;	Airbus SE;	Vietjet Aviation JSC
59;	Airbus SE;	Wizz Air Holdings PLC
60;	Airbus SE;	AerCap Holdings NV
61;	Air Lease Corp;	Airbus SE
62;	Airbus SE;	Airasia Group Bhd
63;	Dassault Systemes SE;	Airbus SE
64;	General Electric Co;	Airbus SE
65;	Interglobe Aviation Ltd;	Airbus SE
66;	Magellan Aerospace Corp;	Airbus SE
67;	MTU Aero Engines AG;	Airbus SE
68;	Airbus SE;	Qantas Airways Ltd
69;	Rockwell Collins Inc;	Airbus SE
70;	Thales SA;	Airbus SE
71;	Air France KLM SA;	Airbus SE
72;	Airbus SE;	Controladora Vuela Compania de Aviacion SAB de CV
73;	Airbus SE;	Eutelsat Communications SA
74;	Inmarsat Group Holdings Ltd;	Airbus SE
75;	Airbus SE;	Qatar Airways Group QCSC
76;	Airbus SE;	AirAsia X Bhd
77;	Controladora Vuela Compania de Aviacion SAB de CV;	Airbus SE
78;	Hardide PLC;	Airbus SE
79;	Constellium SE;	Airbus SE
80;	Airbus SE;	Air Arabia PJSC
81;	Airbus SE;	ANA Holdings Inc
82;	Airbus SE;	China Southern Airlines Co Ltd
83;	Collins Aerospace;	Airbus SE
84;	Howmet Aerospace Inc;	Airbus SE
85;	Airbus SE;	IndiGo Airlines
86;	Airbus SE;	Lockheed Martin Corp
87;	Qantas Airways Ltd;	Airbus SE
88;	TriMas Corp;	Airbus SE
89;	Triumph Group Inc;	Airbus SE
90;	Airbus SE;	Virgin Atlantic Airways Ltd
91;	Zodiac Aerospace SA;	Airbus SE
